id,name,date,region,X,Y,l,m,s
id01_20230115_rump_peakred,id01,20230115,rump_peakred,1,2,0.0402730911270993,0.0339849826467333,0.0321645229685286
id01_20230115_rump_peakred,id01,20230115,rump_peakred,1,12,0.0405604837267785,0.0300145730123179,0.0348741314404743
id01_20230115_rump_peakred,id01,20230115,rump_peakred,2,6,0.0384280908638459,0.0348331422407757,0.025819965733246
id01_20230115_rump_peakred,id01,20230115,rump_peakred,2,10,0.0369253651296984,0.0365646237823904,0.0376540667254477
id01_20230115_rump_peakred,id01,20230115,rump_peakred,2,12,0.0361673921959666,0.0362774862079859,0.0327236199440893
id01_20230115_rump_peakred,id01,20230115,rump_peakred,2,15,0.0321889805246066,0.0316872180344841,0.0318129637162112
id01_20230115_rump_peakred,id01,20230115,rump_peakred,2,20,0.0420886550409203,0.039787609508028,0.0318450785452
id01_20230115_rump_peakred,id01,20230115,rump_peakred,3,1,0.0382446791727862,0.0380067129929946,0.0341872717872939
id01_20230115_rump_peakred,id01,20230115,rump_peakred,3,5,0.0365326916529115,0.032377820884826,0.0380502856115087
id01_20230115_rump_peakred,id01,20230115,rump_peakred,3,6,0.0330793549136789,0.0340416517481977,0.0314693284344805
id01_20230115_rump_peakred,id01,20230115,rump_peakred,3,12,0.0394787135972844,0.0299434776265711,0.0291739793275265
id01_20230115_rump_peakred,id01,20230115,rump_peakred,4,9,0.0374357852774153,0.0352953643694129,0.0271899005518688
id01_20230115_rump_peakred,id01,20230115,rump_peakred,5,6,0.0380080616533706,0.0390633418632577,0.0331692877987338
id01_20230115_rump_peakred,id01,20230115,rump_peakred,5,7,0.0373868466034147,0.0401640321498348,0.0276260737968136
id01_20230115_rump_peakred,id01,20230115,rump_peakred,5,11,0.0388554409736863,0.0370948848187639,0.0334304697165923
id01_20230115_rump_peakred,id01,20230115,rump_peakred,5,13,0.0421621631516325,0.0413145575909131,0.0325522880486847
id01_20230115_rump_peakred,id01,20230115,rump_peakred,5,14,0.039543273684307,0.0412465322921076,0.030178291521768
id01_20230115_rump_peakred,id01,20230115,rump_peakred,5,18,0.0344403660161923,0.0366123744560389,0.028422848803402
id01_20230115_rump_peakred,id01,20230115,rump_peakred,6,11,0.0354904599953401,0.0381214254489397,0.0339474480105149
id01_20230115_rump_peakred,id01,20230115,rump_peakred,7,9,0.033577762867538,0.0349049068016508,0.0315995285091688
id01_20230115_rump_peakred,id01,20230115,rump_peakred,7,15,0.0410492454564362,0.0381529401071689,0.0307300862570808
id01_20230115_rump_peakred,id01,20230115,rump_peakred,8,8,0.0364890001435699,0.0374583614379562,0.0275665939923062
id01_20230115_rump_peakred,id01,20230115,rump_peakred,8,12,0.0322912498388852,0.0347512859062861,0.025100671282183
id01_20230115_rump_peakred,id01,20230115,rump_peakred,8,15,0.0373207247263087,0.0397981093441286,0.0259036705286619
id01_20230115_rump_peakred,id01,20230115,rump_peakred,8,17,0.0376236770418836,0.0372517944982938,0.0347247878350572
id01_20230115_rump_peakred,id01,20230115,rump_peakred,8,20,0.0463769909193359,0.0465232925466589,0.0317750384287518
id01_20230115_rump_peakred,id01,20230115,rump_peakred,9,8,0.0336740033136675,0.0347613051521281,0.0231432708256377
id01_20230115_rump_peakred,id01,20230115,rump_peakred,9,10,0.0419266387756309,0.0418687780777002,0.0271821705629249
id01_20230115_rump_peakred,id01,20230115,rump_peakred,9,15,0.035158925095207,0.0345561395502871,0.0302971188713794
id01_20230115_rump_peakred,id01,20230115,rump_peakred,9,18,0.0384655718839242,0.0401777827663514,0.0270896896336469
id01_20230115_rump_peakred,id01,20230115,rump_peakred,10,7,0.0342706124178926,0.0293480701045916,0.0342911539805768
id01_20230115_rump_peakred,id01,20230115,rump_peakred,10,12,0.0414016847185581,0.0359635027200991,0.0312282035306172
id01_20230115_rump_peakred,id01,20230115,rump_peakred,10,17,0.0422080725751011,0.0448832178615617,0.0276049094192745
id01_20230115_rump_peakred,id01,20230115,rump_peakred,10,18,0.0386624830853003,0.0404777809547788,0.0274282841436151
id01_20230115_rump_peakred,id01,20230115,rump_peakred,10,20,0.0355856074164946,0.0345228983278294,0.0310594037872529
id01_20230115_rump_peakred,id01,20230115,rump_peakred,11,5,0.040016461048913,0.0393881188338487,0.0343288972708842
id01_20230115_rump_peakred,id01,20230115,rump_peakred,11,8,0.0343875808979626,0.0357167688693794,0.0429170084143419
id01_20230115_rump_peakred,id01,20230115,rump_peakred,11,12,0.040115618909179,0.0301803701394032,0.0323363089048959
id01_20230115_rump_peakred,id01,20230115,rump_peakred,12,5,0.0369514331754739,0.0350349726300255,0.0332679107339368
id01_20230115_rump_peakred,id01,20230115,rump_peakred,12,7,0.0412340070415361,0.03787315623876,0.0268003634699251
id01_20230115_rump_peakred,id01,20230115,rump_peakred,12,8,0.0330515528037028,0.0331648822047616,0.0327886305862053
id01_20230115_rump_peakred,id01,20230115,rump_peakred,12,19,0.0393970738589516,0.0412165822092984,0.0312323820488772
id01_20230115_rump_peakred,id01,20230115,rump_peakred,13,2,0.0410222784662819,0.0441845850332462,0.0275065019559441
id01_20230115_rump_peakred,id01,20230115,rump_peakred,13,7,0.0319104196928871,0.0328331500146203,0.0329138419115914
id01_20230115_rump_peakred,id01,20230115,rump_peakred,13,10,0.0337748177681231,0.0347838715664713,0.0277813861466113
id01_20230115_rump_peakred,id01,20230115,rump_peakred,13,11,0.0398068662641495,0.0425096712199346,0.0362197461849544
id01_20230115_rump_peakred,id01,20230115,rump_peakred,13,20,0.0386136258902335,0.0404735886014375,0.0357342963584447
id01_20230115_rump_peakred,id01,20230115,rump_peakred,14,1,0.0425851470748906,0.0315909644591042,0.0309381717910684
id01_20230115_rump_peakred,id01,20230115,rump_peakred,14,2,0.0396031554155013,0.0407132728388098,0.0276843975473923
id01_20230115_rump_peakred,id01,20230115,rump_peakred,14,7,0.036792883195836,0.0385152390997625,0.0337286561606647
id01_20230115_rump_peakred,id01,20230115,rump_peakred,14,8,0.0372629430535033,0.0394107875118093,0.0301003248180259
id01_20230115_rump_peakred,id01,20230115,rump_peakred,14,12,0.0316266023138573,0.0327403384248926,0.0297843657304532
id01_20230115_rump_peakred,id01,20230115,rump_peakred,14,13,0.0341120419802113,0.0361075699348433,0.0336450247996026
id01_20230115_rump_peakred,id01,20230115,rump_peakred,14,14,0.0337110358882612,0.0352761469180173,0.0302507521100007
id01_20230115_rump_peakred,id01,20230115,rump_peakred,14,15,0.0351254982394483,0.0371726740335248,0.0311658646835019
id01_20230115_rump_peakred,id01,20230115,rump_peakred,14,19,0.0349569374529649,0.0376776347040836,0.0325106388806777
id01_20230115_rump_peakred,id01,20230115,rump_peakred,15,1,0.033885409223753,0.0364204133844757,0.0342272719168772
id01_20230115_rump_peakred,id01,20230115,rump_peakred,15,4,0.0399762158434762,0.0425216389557869,0.0352614690027664
id01_20230115_rump_peakred,id01,20230115,rump_peakred,15,6,0.0340850927151049,0.0322732117449937,0.0245946151986671
id01_20230115_rump_peakred,id01,20230115,rump_peakred,15,7,0.0380863666718426,0.0402214317182332,0.0386677207582373
id01_20230115_rump_peakred,id01,20230115,rump_peakred,15,11,0.0414227621007375,0.0343960626458835,0.0290642328520377
id01_20230115_rump_peakred,id01,20230115,rump_peakred,15,13,0.0408802385583937,0.0399374810505161,0.0333446258722341
id01_20230115_rump_peakred,id01,20230115,rump_peakred,15,16,0.0384124894634431,0.0341310109939573,0.0306085692023098
id01_20230115_rump_peakred,id01,20230115,rump_peakred,16,4,0.0342607529130554,0.0369703087179512,0.03192382703674
id01_20230115_rump_peakred,id01,20230115,rump_peakred,16,6,0.041563127252528,0.0435794934704092,0.0322330097239846
id01_20230115_rump_peakred,id01,20230115,rump_peakred,16,15,0.0401505740119427,0.0420801345570994,0.0378893351460298
id01_20230115_rump_peakred,id01,20230115,rump_peakred,16,17,0.0343625522695303,0.0364204756432765,0.0290153251523052
id01_20230115_rump_peakred,id01,20230115,rump_peakred,16,18,0.0382852656208695,0.0336739507591508,0.0258407305440487
id01_20230115_rump_peakred,id01,20230115,rump_peakred,16,20,0.0360561123707254,0.0344699266957121,0.0308252905881004
id01_20230115_rump_peakred,id01,20230115,rump_peakred,17,5,0.0387549016398038,0.0376557535952453,0.0327875653192244
id01_20230115_rump_peakred,id01,20230115,rump_peakred,17,9,0.0305264134178222,0.0328125652151379,0.0334622048088004
id01_20230115_rump_peakred,id01,20230115,rump_peakred,18,16,0.0436986637630328,0.0398036118251145,0.0282445281051055
id01_20230115_rump_peakred,id01,20230115,rump_peakred,18,20,0.0375115241188396,0.0338187627369575,0.0311272174809921
id01_20230115_rump_peakred,id01,20230115,rump_peakred,19,5,0.0368405232231635,0.0392995984757026,0.0264332393772793
id01_20230115_rump_peakred,id01,20230115,rump_peakred,19,7,0.0430799245947191,0.0339154566373165,0.0331287236134288
id01_20230115_rump_peakred,id01,20230115,rump_peakred,19,10,0.0367143506306032,0.0341160737589089,0.0322552294720969
id01_20230115_rump_peakred,id01,20230115,rump_peakred,20,1,0.0353173642927767,0.0353142859105974,0.0340158248633258
id01_20230115_rump_peakred,id01,20230115,rump_peakred,20,2,0.0389271117274032,0.0382151793578125,0.0362620575536781
id01_20230115_rump_peakred,id01,20230115,rump_peakred,20,5,0.0316702493007986,0.0330418681855036,0.0373471493521588
id01_20230115_rump_peakred,id01,20230115,rump_peakred,20,14,0.0367957573403234,0.0388034287115852,0.0373993734478458
id01_20230115_rump_peakred,id01,20230115,rump_peakred,1,8,0.0434691150949319,0.0274306882462276,0.0294747541236766
id01_20230115_rump_peakred,id01,20230115,rump_peakred,2,3,0.0367558490870132,0.0254547896944478,0.0206112675125384
id01_20230115_rump_peakred,id01,20230115,rump_peakred,2,4,0.0479806232878634,0.0318050304954022,0.0233522704973668
id01_20230115_rump_peakred,id01,20230115,rump_peakred,2,5,0.0395088684398826,0.0286660119246755,0.0273343751126311
id01_20230115_rump_peakred,id01,20230115,rump_peakred,2,11,0.0428932705298849,0.0302419634178588,0.0293409062046461
id01_20230115_rump_peakred,id01,20230115,rump_peakred,2,14,0.0433903872417714,0.031931588134884,0.027595027712244
id01_20230115_rump_peakred,id01,20230115,rump_peakred,2,19,0.040898143648047,0.0263083223506265,0.0247444644532451
id01_20230115_rump_peakred,id01,20230115,rump_peakred,2,20,0.0423610516100484,0.0291312554956321,0.024900107116903
id01_20230115_rump_peakred,id01,20230115,rump_peakred,3,3,0.0443727568489727,0.0251836156494568,0.0241846683186454
id01_20230115_rump_peakred,id01,20230115,rump_peakred,3,7,0.0453312449861036,0.0305490140576111,0.0249364477411713
id01_20230115_rump_peakred,id01,20230115,rump_peakred,3,12,0.0404619726150111,0.0260742876125677,0.0259305192660787
id01_20230115_rump_peakred,id01,20230115,rump_peakred,3,16,0.0389157762922828,0.0272210259787893,0.0263805869073572
id01_20230115_rump_peakred,id01,20230115,rump_peakred,3,18,0.0444180229254502,0.0320411114746667,0.0227431698541156
id01_20230115_rump_peakred,id01,20230115,rump_peakred,4,3,0.0436979610123402,0.0317724034327473,0.0273281037078611
id01_20230115_rump_peakred,id01,20230115,rump_peakred,4,10,0.0439388496418161,0.0317964344100397,0.0163083985608941
id01_20230115_rump_peakred,id01,20230115,rump_peakred,4,20,0.0353624744554415,0.0239837481653857,0.0244589088087871
id01_20230115_rump_peakred,id01,20230115,rump_peakred,5,4,0.0472589062959815,0.0268288398993495,0.0256864906527072
id01_20230115_rump_peakred,id01,20230115,rump_peakred,5,5,0.0400121245934339,0.0288283503560507,0.0208087587720828
id01_20230115_rump_peakred,id01,20230115,rump_peakred,5,15,0.0355748687664342,0.0216426046725339,0.0281598107268439
id01_20230115_rump_peakred,id01,20230115,rump_peakred,5,18,0.0427593411731676,0.0294297212648518,0.020401845630294
id01_20230115_rump_peakred,id01,20230115,rump_peakred,6,3,0.0455364474482956,0.0295470605590896,0.0244896653426485
id01_20230115_rump_peakred,id01,20230115,rump_peakred,6,5,0.0430326850520266,0.0293002083926474,0.021265280391499
id01_20230115_rump_peakred,id01,20230115,rump_peakred,6,15,0.0477747908538685,0.0323333652194853,0.0283099022631911
id01_20230115_rump_peakred,id01,20230115,rump_peakred,6,16,0.0537274350533574,0.0292979632527086,0.0283693686075298
id01_20230115_rump_peakred,id01,20230115,rump_peakred,6,18,0.043565178358316,0.025459490431893,0.0300561236033674
id01_20230115_rump_peakred,id01,20230115,rump_peakred,6,19,0.0450641930165679,0.0281597804603863,0.0229586901069476
id01_20230115_rump_peakred,id01,20230115,rump_peakred,7,4,0.0426555908998157,0.0277727516554689,0.023290758025036
