X,Y,Value
1,1,0.023787117689838065
1,2,0.024526377177128175
1,3,0.030771900600271265
1,4,0.02820860644076592
1,5,0.02808248300400526
1,6,0.03027765807408458
1,7,0.029951878728961163
1,8,0.029414740108203656
1,9,0.029848640402792045
1,10,0.028948915354637922
1,11,0.024205258959822413
1,12,0.0281462764388014
1,13,0.032950197587896336
1,14,0.0336910206049389
1,15,0.032918204123678525
1,16,0.032773005225527535
1,17,0.02783725759747346
1,18,0.02786361546579348
1,19,0.03340287055884754
1,20,0.026838044346717455
2,1,0.027634794433338366
2,2,0.03144140536414366
2,3,0.03292593833748021
2,4,0.022636591281674286
2,5,0.03615247694347915
2,6,0.02577177168147042
2,7,0.030617267231754102
2,8,0.023398434408048615
2,9,0.03401709977915761
2,10,0.039929516806028936
2,11,0.03253109069516609
2,12,0.037600415743905664
2,13,0.024430705357572125
2,14,0.028931689568926548
2,15,0.028119940268025858
2,16,0.02960889235940169
2,17,0.02618937937070625
2,18,0.028117546017091516
2,19,0.028932947940969383
2,20,0.024390390955020387
3,1,0.03168425986305978
3,2,0.03004494785857367
3,3,0.025794229829818764
3,4,0.028078153779888707
3,5,0.02710994042476427
3,6,0.025758635856184132
3,7,0.026414807795088195
3,8,0.025010669099689006
3,9,0.027485843006789037
3,10,0.027992610973815668
3,11,0.02479513759656581
3,12,0.031000568715447104
3,13,0.025723991452712047
3,14,0.026543561633618793
3,15,0.02837864302139641
3,16,0.0366079645854358
3,17,0.028447809244288157
3,18,0.02982208294933301
3,19,0.029702514576425563
3,20,0.03376568324259212
4,1,0.028056550129608233
4,2,0.030698627343504842
4,3,0.025052920211953978
4,4,0.027019149737792916
4,5,0.03489336182693464
4,6,0.03056606602678243
4,7,0.03640322867094587
4,8,0.03412084542649625
4,9,0.029532662375043976
4,10,0.032381712266401644
4,11,0.0397134867850481
4,12,0.03148952938479724
4,13,0.03584433063770248
4,14,0.02259390151519928
4,15,0.031122987833431242
4,16,0.026663318133488313
4,17,0.019139495119049502
4,18,0.02339598321250056
4,19,0.02994846074238097
4,20,0.0279441812586865
5,1,0.02085690257055026
5,2,0.03159999884198183
5,3,0.03155500489186298
5,4,0.029919272020641346
5,5,0.03214141837986631
5,6,0.02997415502452783
5,7,0.029426904251592986
5,8,0.028885839325530037
5,9,0.0302100370773658
5,10,0.026777114305850024
5,11,0.02676922513051465
5,12,0.02490596433049126
5,13,0.025298412921703553
5,14,0.027519398069843666
5,15,0.0323255749130136
5,16,0.029896031789676362
5,17,0.027052960705855365
5,18,0.025582503624530066
5,19,0.032909097314051755
5,20,0.02813306476224084
6,1,0.034934796457091695
6,2,0.03519228084394693
6,3,0.022985169778691573
6,4,0.03386837387000864
6,5,0.02927405842768847
6,6,0.02114902031047814
6,7,0.026029871343109
6,8,0.031060857422136223
6,9,0.026146240875346977
6,10,0.020313066289652435
6,11,0.033002739809120704
6,12,0.030880745801588252
6,13,0.022551105094524973
6,14,0.0290059193145733
6,15,0.034806595449802157
6,16,0.03436852659275068
6,17,0.02194239995055621
6,18,0.030423936838114684
6,19,0.040587898978552646
6,20,0.03486297287227269
7,1,0.030602235838891045
7,2,0.02211481707703561
7,3,0.03981878110082042
7,4,0.029849550439205657
7,5,0.027400252968615656
7,6,0.02766802447971429
7,7,0.02619162315478685
7,8,0.03722044986138723
7,9,0.03441953013053084
7,10,0.03180168991458551
7,11,0.034045042516962457
7,12,0.033358363114201914
7,13,0.029074257886236226
7,14,0.027341982313752136
7,15,0.028393837611732108
7,16,0.024431457962521354
7,17,0.028979951247932647
7,18,0.029408718844315413
7,19,0.030340490796170308
7,20,0.0363712838465602
8,1,0.03653606289011607
8,2,0.026954092279306827
8,3,0.0253505343907416
8,4,0.03109525296714758
8,5,0.027050829467422818
8,6,0.03499390456070629
8,7,0.03173873250899804
8,8,0.031851305763651326
8,9,0.030057952747494017
8,10,0.03383541219483799
8,11,0.02816473878709508
8,12,0.025687612189928655
8,13,0.029274720861009903
8,14,0.022659554471579947
8,15,0.03238476435124437
8,16,0.02908800509045555
8,17,0.03177817062872609
8,18,0.036224809672685085
8,19,0.03197857257216305
8,20,0.029458971403558906
9,1,0.023617878953950885
9,2,0.027867591740658906
9,3,0.03460646834980338
9,4,0.032821909735843695
9,5,0.032870367327715234
9,6,0.03275857650052631
9,7,0.036198304213317725
9,8,0.030404343069948304
9,9,0.03234787048213546
9,10,0.02698292282646704
9,11,0.029455196190161004
9,12,0.030764427155764152
9,13,0.029972203908531524
9,14,0.03327085452137786
9,15,0.036939293884437785
9,16,0.026785406421423942
9,17,0.02982394673624722
9,18,0.036115926712024606
9,19,0.03208353149719575
9,20,0.03128842521567946
10,1,0.03391059374483338
10,2,0.02166701098395485
10,3,0.028142959697151457
10,4,0.02578239590136454
10,5,0.02956470683913417
10,6,0.022965573781208688
10,7,0.02511953097292136
10,8,0.02763060229543037
10,9,0.03553392422462666
10,10,0.034359263414980475
10,11,0.03323884598481862
10,12,0.029139968059927857
10,13,0.025638234636519878
10,14,0.024717592538696306
10,15,0.030525201384711122
10,16,0.03573642014270507
