X,Y,Value
1,1,0.04435755690919646
1,2,0.049955816397517235
1,3,0.044409134783446734
1,4,0.05076063890069472
1,5,0.050469976238887354
1,6,0.04146557462073512
1,7,0.05291088405731865
1,8,0.04373320304462126
1,9,0.04787463199983272
1,10,0.04687142015536596
1,11,0.05213699796690109
1,12,0.05239388836448623
1,13,0.04415844775609718
1,14,0.03939484012261544
1,15,0.04589102486478947
1,16,0.04452486703136169
1,17,0.04658291609787897
1,18,0.04240289457624211
1,19,0.04801079405995824
1,20,0.04755982901438628
2,1,0.0523873255945877
2,2,0.04943417766735615
2,3,0.046885690659960004
2,4,0.04056740340881589
2,5,0.04705834849713583
2,6,0.047951293815417365
2,7,0.04669959829139628
2,8,0.04599371432319235
2,9,0.046073915045557176
2,10,0.05241842024904884
2,11,0.03907103122098475
2,12,0.045911654250912544
2,13,0.048247720277815355
2,14,0.04318033447920876
2,15,0.050191352465157456
2,16,0.047833155769267846
2,17,0.053392020582799196
2,18,0.048043605499453246
2,19,0.042236093340703426
2,20,0.04574436394714121
3,1,0.055395798477787195
3,2,0.05279621532185612
3,3,0.04887293055125841
3,4,0.05331381733998526
3,5,0.04735936717586573
3,6,0.0423219291224452
3,7,0.04529058547805851
3,8,0.05134781066536444
3,9,0.04188547636680267
3,10,0.04936619159174273
3,11,0.045619286577437364
3,12,0.04549099647688214
3,13,0.04506413353899749
3,14,0.04676401729420015
3,15,0.04118888059219211
3,16,0.04136877296859915
3,17,0.03970886483705385
3,18,0.03995139828266647
3,19,0.05314045650374763
3,20,0.04542317242538345
4,1,0.05084827395052383
4,2,0.044446398228981616
4,3,0.044954779080802136
4,4,0.04213106391861253
4,5,0.0461169878990395
4,6,0.048176223612623366
4,7,0.04220556276094292
4,8,0.044942832920167056
4,9,0.0494282830818614
4,10,0.039864035660100765
4,11,0.046151412768190035
4,12,0.03603354841017277
4,13,0.03778196072836083
4,14,0.044493738666470696
4,15,0.047763428198882255
4,16,0.05192222818212696
4,17,0.04868476185870521
4,18,0.04528153954953414
4,19,0.04549770663452569
4,20,0.04652685990608241
5,1,0.0435985657657632
5,2,0.051499500217270636
5,3,0.05030351157339541
5,4,0.03741658723549988
5,5,0.0468787769132273
5,6,0.04797378056477482
5,7,0.04546161934462335
5,8,0.04840891294864338
5,9,0.04924527278204786
5,10,0.0491709867551641
5,11,0.04839733577492642
5,12,0.038764733758720714
5,13,0.047476087347528416
5,14,0.04369459921553196
5,15,0.04609998889630038
5,16,0.045250895895883395
5,17,0.04738609124076219
5,18,0.0450860705077905
5,19,0.04872435062087094
5,20,0.039364059140840714
6,1,0.049576133659762794
6,2,0.043993664765474935
6,3,0.038952369974215376
6,4,0.0413977889198363
6,5,0.041711501366594794
6,6,0.049245797897394084
6,7,0.04250143072321579
6,8,0.04504448001268257
6,9,0.03838702973306124
6,10,0.04894188954869357
6,11,0.04577813564974316
6,12,0.053555838629235776
6,13,0.043435390136681906
6,14,0.04487422354085626
6,15,0.0436222030561401
6,16,0.04754753103779526
6,17,0.03850032722790057
6,18,0.040634841018752
6,19,0.04120619761559024
6,20,0.04688353847351776
7,1,0.04026311383435974
7,2,0.0502089605484394
7,3,0.04671359765747915
7,4,0.04620577057180859
7,5,0.03967559347118223
7,6,0.04706721340368042
7,7,0.04933441900404771
7,8,0.039531992398002175
7,9,0.04888968074042539
7,10,0.042180401015436915
7,11,0.04880854919234197
7,12,0.051169294476048545
7,13,0.04562642115719068
7,14,0.04695930784976968
7,15,0.05094681916441658
7,16,0.041693503343533
7,17,0.04362151666992867
7,18,0.050971449995950165
7,19,0.04458838319923877
7,20,0.03998614896013859
8,1,0.04560687161302338
8,2,0.04248895378481612
8,3,0.049446699383329476
8,4,0.04942239765802716
8,5,0.04606100286073875
8,6,0.0439314512282158
